,_id_rank,日期_rank,成交额_rank,振幅_rank,涨跌幅_rank,涨跌额_rank,换手率_rank,真实价格_rank,timestamp_rank,开盘收盘幅_rank,昨日振幅_rank,昨日涨跌幅_rank,昨日成交额_rank,昨日资金贡献_rank,delta昨日资金贡献_rank,up昨日资金贡献_rank,down昨日资金贡献_rank,昨日资金波动_rank,delta昨日资金波动_rank,up昨日资金波动_rank,down昨日资金波动_rank,delta开盘_rank,up开盘_rank,down开盘_rank,SMA10开盘比值_rank,ma_up4周期开盘_rank,ma_down4周期开盘_rank,ma_up4周期昨日资金贡献_rank,ma_down4周期昨日资金贡献_rank,ma_up4周期昨日资金波动_rank,ma_down4周期昨日资金波动_rank,SMA15开盘比值_rank,ma_up6周期开盘_rank,ma_down6周期开盘_rank,ma_up6周期昨日资金贡献_rank,ma_down6周期昨日资金贡献_rank,ma_up6周期昨日资金波动_rank,ma_down6周期昨日资金波动_rank,SMA20开盘比值_rank,ma_up8周期开盘_rank,ma_down8周期开盘_rank,ma_up8周期昨日资金贡献_rank,ma_down8周期昨日资金贡献_rank,ma_up8周期昨日资金波动_rank,ma_down8周期昨日资金波动_rank,SMA25开盘比值_rank,ma_up10周期开盘_rank,ma_down10周期开盘_rank,ma_up10周期昨日资金贡献_rank,ma_down10周期昨日资金贡献_rank,ma_up10周期昨日资金波动_rank,ma_down10周期昨日资金波动_rank,SMA30开盘比值_rank,ma_up12周期开盘_rank,ma_down12周期开盘_rank,ma_up12周期昨日资金贡献_rank,ma_down12周期昨日资金贡献_rank,ma_up12周期昨日资金波动_rank,ma_down12周期昨日资金波动_rank
"(0.41666666666666663, 0.4583333333333333)",0.002292642,,0.00371817,0.00496494,0.005093759,0.008015035,0.007128197,0.006289972,,0.003576735,0.004914929,0.00464397,0.003322504,-0.002216298,-0.001375107,-0.001312634,-9.71E-05,0.004193222,-0.003741678,-0.005541677,-0.001214713,0.00722326,0.006725624,0.008015352,0.007194261,0.003289295,0.005094721,0.004476129,0.004437843,0.003276635,0.003107928,0.008289946,0.004080549,0.004553663,0.003330386,0.004496804,0.004251854,0.004869078,0.008537342,0.003702793,0.003783154,0.003624413,0.00333994,0.00444796,0.004410051,0.008825752,0.005264304,0.003595491,0.002828106,0.003941068,0.004217023,0.005596754,0.00735062,0.00524625,0.003341509,0.003910631,0.003852949,0.005849518,0.006246804
"(0.4583333333333333, 0.5)",-0.001720971,,0.003739993,0.006391546,0.006653422,0.008712293,0.006922835,0.005952345,,0.004503196,0.006339777,0.006139174,0.003625192,-0.001247051,-0.001436049,-0.000871575,-0.001112237,0.003871921,-0.004190971,-0.005342836,-0.001823611,0.007697633,0.006172527,0.006249827,0.006821138,0.005572043,0.005326954,0.002220258,0.002905253,0.004287795,0.003310688,0.00734341,0.005366553,0.005068953,0.003007537,0.002912826,0.003752199,0.003185375,0.008054909,0.006008735,0.004856077,0.003576993,0.003409126,0.005213098,0.003806815,0.008896079,0.005196887,0.005357754,0.004046536,0.004715086,0.005237536,0.00484901,0.007948364,0.00601626,0.004913864,0.003256974,0.004088825,0.003875053,0.005475131
"(0.5, 0.5416666666666666)",-0.001383933,,0.004787365,0.00625803,0.006000784,0.008204987,0.006006767,0.005097873,,0.003793026,0.00654897,0.005581471,0.004360207,-0.001235381,-0.001555112,-0.002403927,-0.002251129,0.002414648,-0.003488769,-0.005457509,-0.00279079,0.006394433,0.005748905,0.008891408,0.007647865,0.004937247,0.006991688,0.001995945,0.001706123,0.001500873,0.003391808,0.008001671,0.006352087,0.006213703,0.003663848,0.002154598,0.002852318,0.003531536,0.007878684,0.006048214,0.005265157,0.002547469,0.002960529,0.003501038,0.003229852,0.008568986,0.005676147,0.006512552,0.003229628,0.002794698,0.004191791,0.002656211,0.00767068,0.005561921,0.007301325,0.004335439,0.004891526,0.004545035,0.003900064
"(0.5416666666666666, 0.5833333333333333)",-0.001427963,,0.005225816,0.006621485,0.00533655,0.007536939,0.005462692,0.005900778,,0.005437247,0.006281361,0.005237356,0.005216505,-0.003165658,-0.001436877,-0.003589622,-0.001361534,0.000315385,-0.00222153,-0.005316994,0.000247227,0.006683589,0.004700767,0.008163261,0.007104308,0.005965338,0.007500218,0.002142105,-0.000223804,0.000857697,0.00173233,0.006353239,0.006366117,0.006595899,0.00157155,0.002373008,0.002427376,0.001562357,0.007752819,0.007107282,0.006430388,0.002373774,0.002166141,0.001134891,0.002951973,0.007612144,0.006678236,0.005941698,0.002000807,0.001861646,0.003416789,0.003540707,0.00763961,0.005750287,0.007257525,0.003224936,0.002205572,0.002856714,0.002063804
"(0.5833333333333333, 0.625)",-0.000473365,,0.00627321,0.007181858,0.005487928,0.007331349,0.006754934,0.003417073,,0.004442478,0.007333664,0.005323102,0.005800484,5.84E-05,-0.000985686,-0.004994674,-0.004895225,-0.000308498,-0.002524745,-0.002538133,-0.000745429,0.007433961,0.005282838,0.00810996,0.00730952,0.007108582,0.006853693,0.00066038,0.000485371,7.76E-05,-3.39E-05,0.007342274,0.006936965,0.008069886,0.000883299,0.001168138,0.000740482,0.000945992,0.007567072,0.007245161,0.008006419,0.001257662,0.0012446,0.000521609,0.001674513,0.00772662,0.008116036,0.007250263,0.002544727,0.001939645,-0.000111136,0.001172958,0.008088624,0.008371672,0.006605545,0.001019611,0.001321323,0.002488701,0.001674917
"(0.625, 0.6666666666666666)",-0.001346716,,0.007685896,0.006565241,0.006484567,0.006730745,0.007422003,0.005458359,,0.006801028,0.006160668,0.006080293,0.007655029,-0.000429458,-0.000159965,-0.004376698,-0.002979813,-0.001623537,-0.002043253,-0.00363143,-0.004476456,0.006868736,0.008803147,0.008111816,0.006165164,0.00721319,0.005079404,-0.00141264,4.38E-05,-0.001030457,-0.00143659,0.006743391,0.008153431,0.006535171,0.000582895,-0.000305585,-0.001348564,-0.000796129,0.007722815,0.00680979,0.00667255,0.000181914,0.000325989,6.95E-05,-0.001545493,0.007280296,0.007544278,0.007973544,6.05E-05,-0.000368741,-0.000824564,0.000395965,0.006664096,0.008157114,0.007582666,0.000630864,-4.76E-05,-0.001598439,-0.000252562
"(0.6666666666666666, 0.7083333333333333)",-0.001350692,,0.007108095,0.006482902,0.005287356,0.005967871,0.007263594,0.003876271,,0.00213542,0.006626437,0.004919897,0.006728887,9.38E-06,0.000621006,-0.002170336,-0.00165621,-0.002628964,-0.000685943,0.003148165,-0.008995883,0.006489997,0.008180764,0.006615807,0.007263061,0.007771313,0.00750851,-0.001052075,-0.001869629,-0.001875533,-0.001086443,0.006351993,0.007585299,0.008327026,-0.001588578,-0.000754755,-0.000836274,-0.001608753,0.005996299,0.008393015,0.008376852,-0.000719023,-0.000796016,-0.000954573,-0.00209479,0.006921152,0.007827746,0.006489631,-0.001349285,-0.000997373,-0.002098217,-0.001813063,0.007044952,0.007655792,0.007066431,-0.000810224,-0.000870272,-0.001157317,-0.001059117
"(0.7083333333333333, 0.75)",0.000361548,,0.009395711,0.007127264,0.005263367,0.005391966,0.00666637,0.005360589,,0.005010929,0.007237433,0.00527924,0.00920637,0.001422044,0.001111581,-0.003697913,-0.003281797,-0.004027593,0.000647985,0.00490625,-0.001898571,0.004539837,0.013121536,0.005760075,0.004490283,0.007089599,0.006633072,-0.002359044,-0.00139788,-0.002298527,-0.002310024,0.00606061,0.008141587,0.007181817,-0.001523264,-0.001964702,-0.003133055,-0.001781765,0.005938594,0.00814458,0.0079324,-0.002228052,-0.002215323,-0.003809682,-0.002666411,0.005855099,0.008941663,0.008376636,-0.001637506,-0.000603092,-0.001284576,-0.00313957,0.006647798,0.009016432,0.007200055,-0.002230871,-0.001620375,-0.00203873,-0.002153103
"(0.75, 0.7916666666666666)",0.000167781,,0.010825449,0.00636583,0.004213603,0.004627331,0.007334588,0.006849071,,0.002998434,0.0059415,0.003766435,0.010815236,0.001972333,0.002058942,-0.005781428,-0.000729931,-0.005661748,0.001240272,0.017903818,0.001713966,0.004871302,0.014324086,0.013439365,0.005607373,0.007205935,0.007175607,-0.003229899,-0.004300848,-0.004102196,-0.003715768,0.004069091,0.00922815,0.007445823,-0.00308601,-0.003869226,-0.002495553,-0.00173417,0.005543818,0.009398446,0.007504877,-0.002467583,-0.002728186,-0.002731842,-0.001750698,0.006465234,0.009616415,0.007705743,-0.00274216,-0.002923309,-0.003024023,-0.002305757,0.006646586,0.010318374,0.00858002,-0.00282984,-0.001884415,-0.003392892,-0.003120673
"(0.7916666666666666, 0.8333333333333333)",0.001832908,,0.012706168,0.00626681,0.003582697,0.002821685,0.007456145,0.007943833,,0.003285986,0.006097043,0.00330009,0.01225647,0.003183049,0.003413476,0.005030512,-0.005265721,-0.00706181,0.002006533,0.012848026,-0.001876302,0.004354977,0.012923196,0.012021224,0.004178917,0.006660998,0.006138036,-0.004722616,-0.004443568,-0.004705425,-0.00527236,0.005047701,0.008648403,0.007243113,-0.005166936,-0.004821502,-0.005257078,-0.00449648,0.005431231,0.008504513,0.007377766,-0.004037135,-0.004855946,-0.004272101,-0.00333577,0.005993197,0.008990901,0.008873577,-0.003588599,-0.004376221,-0.004957173,-0.004100231,0.006025192,0.00953112,0.009529252,-0.002593087,-0.004343908,-0.004592315,-0.003539699
"(0.8333333333333333, 0.875)",0.002654823,,0.013443144,0.006178572,0.003085151,0.000485953,0.006330433,0.005354772,,0.002379043,0.006187039,0.003005557,0.013072015,0.003237414,0.004788178,-0.00076872,0.00837027,-0.007780972,0.004498894,0.025044744,-0.021701559,0.001198222,0.023819494,0.019720516,0.002560979,0.005229012,0.005164795,-0.004053913,-0.004981157,-0.004457451,-0.004398166,0.004029459,0.007802655,0.005895759,-0.004214438,-0.004218279,-0.005232102,-0.005402818,0.005095456,0.008553386,0.007777945,-0.005531389,-0.004851101,-0.005441038,-0.004865647,0.006510743,0.008821834,0.008526862,-0.004755691,-0.004713617,-0.004273709,-0.004346581,0.00663131,0.009626656,0.008771386,-0.004552643,-0.004201057,-0.004353995,-0.003926198
"(0.875, 0.9166666666666666)",0.006068599,,0.014498832,0.005028491,0.000627193,-0.001397226,0.007208638,-0.014683396,,-0.001217246,0.005059423,0.000589914,0.014330619,0.005623506,0.00510001,0.008779465,0.031673783,-0.007907432,0.006684102,,-0.029281365,-0.000700365,0.035791762,0.020454458,0.002738226,0.003815048,0.004921207,-0.006250124,-0.006162762,-0.006905873,-0.005325273,0.00315563,0.005960079,0.006478173,-0.005756787,-0.0055643,-0.007191511,-0.005794895,0.004286453,0.007555526,0.00685528,-0.005399453,-0.005370521,-0.005734867,-0.006179611,0.005166111,0.008115157,0.00682026,-0.005562768,-0.005393897,-0.00565042,-0.005664922,0.005674025,0.007901948,0.007314408,-0.005809938,-0.005263759,-0.005075755,-0.005148808
"(0.9166666666666666, 0.9583333333333333)",0.010186794,,0.015417659,0.003483106,-0.001362239,-0.004619902,0.006948459,,,-0.003893523,0.003671322,-0.001392099,0.015038412,0.007215319,0.00831398,-0.002937882,0.031233389,-0.010412895,0.009199584,,-0.006628912,-0.004302197,,0.039316766,0.000210006,0.002414823,0.0018417,-0.006392767,-0.007680544,-0.007007753,-0.006759613,0.002012271,0.003183996,0.00517527,-0.00742914,-0.007942457,-0.006251139,-0.006598748,0.002124407,0.005080591,0.006229611,-0.006941098,-0.007322469,-0.007595946,-0.007167366,0.003108485,0.005426504,0.007336925,-0.006614884,-0.00691802,-0.006972662,-0.006771007,0.004075054,0.005808731,0.007119531,-0.006664123,-0.007170375,-0.006806854,-0.007321101
"(0.9583333333333333, 1.0)",0.008016229,0.002270995,0.016892186,0.005926993,-0.011315076,-0.008488575,0.007050148,,0.002270995,-0.017808497,0.004089673,-0.008549183,0.016774395,0.011467154,0.011654673,0.002764821,0.001738599,-0.007179336,0.01119922,0.002316412,0.002410868,-0.007464906,0.003148182,0.001533081,-0.002958719,0.010201147,0.004591408,-0.004006759,-0.005973625,-0.002879086,-0.000416134,-0.001765945,0.004990583,0.006086697,-0.00681895,-0.007550924,-0.006369588,-0.006171883,-0.000599944,0.002234809,0.005798691,-0.007495987,-0.007870452,-0.006792658,-0.007195576,0.001693209,0.002156793,0.004136119,-0.008068421,-0.008030142,-0.007617115,-0.007484231,0.003758203,0.001801524,0.0034829,-0.008111317,-0.008043275,-0.00781169,-0.007666878
