,_id_rank,代码_rank,开盘_rank,最高_rank,最低_rank,收盘_rank,成交量_rank,成交额_rank,成交笔数_rank,主动买入成交量_rank,主动买入成交额_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日成交额_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,SMA2开盘比值_rank,SMA20开盘比值_rank,SMA3开盘比值_rank,SMA30开盘比值_rank,SMA4开盘比值_rank,SMA40开盘比值_rank,SMA5开盘比值_rank,SMA50开盘比值_rank,SMA6开盘比值_rank,SMA60开盘比值_rank,SMA7开盘比值_rank,SMA70开盘比值_rank,SMA8开盘比值_rank,SMA80开盘比值_rank,SMA9开盘比值_rank,SMA90开盘比值_rank
"(0.5, 0.52)",0.000629214,-0.001258166,0.00172016,0.002424237,0.001433518,0.001749384,0.000623245,-0.000692151,4.38E-05,0.00052206,-0.000878381,-0.036951086,0.002944447,0.001627353,-0.000862681,0.002406403,-0.000607157,-0.000527012,0.001206455,0.00313047,0.001172676,0.00186828,0.00132086,0.002748559,0.001635883,0.001471391,0.001483089,0.002970088,0.003355532,0.002060234,0.002819119,0.002030835,0.00296283,0.000749337
"(0.52, 0.54)",0.001037017,-0.004499493,0.002077905,0.001985022,0.002510643,0.002094993,0.001625543,0.000264408,0.000334432,0.00212342,0.001148464,0.014017822,0.000105458,0.001480848,-0.000232197,0.0003034,-0.000372179,-0.001658345,0.001611711,0.00459306,0.002094309,0.00449641,0.000968463,0.003014532,0.002426346,0.004680624,0.002557941,0.003322675,0.002887632,0.005087417,0.004885309,0.002765634,0.003753786,0.002805401
"(0.54, 0.56)",0.003199074,0.00278105,0.00137339,0.001352371,0.001543106,0.001761927,0.002208917,0.002936787,0.000500329,0.001473945,0.000961202,-0.012515268,0.003232765,0.003043548,0.003205682,0.002729367,-0.000449177,0.001968101,0.002650354,0.003899584,0.001669975,0.004395665,0.00103849,0.00352467,0.002155561,0.004618466,0.003220046,0.004958961,0.002404299,0.003770637,0.003234725,0.002117063,0.004898276,0.003593128
"(0.56, 0.58)",0.000696375,-0.001080706,-0.001159457,-0.001835548,-0.002082071,-0.001408242,3.63E-05,-0.000449451,-0.000566046,0.001020127,-0.000324101,-0.001312996,0.001799648,0.001510964,-0.000564309,0.001582548,-0.000859249,-0.00042886,0.00113645,0.003998381,0.001023504,0.002381888,0.001059436,0.002011112,0.00155566,0.002373098,0.004493716,0.003865716,0.003474141,0.003337307,0.002312193,0.001375729,0.003276059,0.00273583
"(0.58, 0.6)",-0.003016355,-0.002444815,0.000654736,0.001255528,0.001214112,0.000372186,0.000364395,0.000254569,0.001076438,-0.000602374,0.000794191,0.005988343,0.001157022,0.000426776,0.000424406,0.000346007,-0.000454505,-0.001720608,0.001804835,0.003460941,0.000244222,0.004215459,0.002929392,0.00219586,0.001280314,0.002441313,0.000611023,0.003140022,0.001659462,0.003169134,0.003761554,0.003341029,0.00191403,0.001673407
"(0.6, 0.62)",0.000659295,0.003650721,0.001015104,0.000471924,0.001354885,0.000860016,1.24E-05,0.001015048,0.001434172,0.000177479,0.000633884,0.004404955,0.001302815,0.000749578,0.000101579,0.00066591,-0.002015932,-0.001896313,0.000650051,0.003995937,0.001271435,0.002491454,0.000667216,0.002227362,0.000708649,0.0029154,0.001437613,0.003612638,0.003674226,0.003278876,0.001275849,0.002753634,0.003543437,0.002611938
"(0.62, 0.64)",0.002886139,0.000534453,0.000846408,0.000691844,0.000723984,0.000810937,0.002344188,0.001547347,0.00165635,0.001325562,0.002307579,-0.008726098,0.001483771,0.001343629,0.00213217,0.002304983,-0.00023338,0.000513526,0.001035831,0.003389982,0.003488056,0.002630769,0.001262529,0.002809589,0.003153543,0.002028925,0.00310576,0.002714969,0.002980014,0.003206712,0.002085559,0.004216506,0.003556018,0.003043199
"(0.64, 0.66)",-0.000860698,0.002050542,0.001265192,0.001288665,0.000867204,0.000978236,0.001015476,0.001305981,0.00200349,0.001721008,0.000321764,0.00197776,0.00100288,0.002038906,0.001547548,0.001222908,-0.000481878,-0.00204681,0.00185904,0.002106097,0.001298566,0.002899973,0.0034999,0.002432527,0.001744493,0.001239221,0.003107863,0.004935469,0.00260517,0.002332947,0.003156255,0.002893431,0.001544372,0.003267748
"(0.66, 0.68)",-0.000464112,0.001794156,-0.002308483,-0.001875913,-0.002263642,-0.002218153,0.001935249,-0.000926742,0.000760197,0.00175686,0.000166074,-0.004747999,-3.06E-05,0.001598887,-0.000912918,-7.56E-05,-0.001057785,-0.00210347,0.000760618,0.002398709,0.001733615,0.001552556,0.000832503,0.000876725,0.001242749,0.001420809,0.002300949,0.001752483,0.0032332,0.001836795,0.001689539,0.003206526,0.000887965,0.001290873
"(0.68, 0.7000000000000001)",0.000947876,0.000125892,0.001335417,0.001702348,0.001053885,0.001327599,0.00076907,0.00206778,0.001179671,0.002115428,0.001208921,0.003226754,0.00266346,0.001720607,0.00140032,0.002220041,-0.001265162,-0.000892511,0.003044629,0.004125215,0.001477781,0.003792783,0.00211827,0.00242416,0.001043502,0.001870806,0.003153494,0.002335277,0.002823075,0.002845522,0.002979996,0.00095752,0.002942376,0.003651719
