,_id_rank,代码_rank,开盘_rank,最高_rank,最低_rank,收盘_rank,成交量_rank,成交额_rank,成交笔数_rank,主动买入成交量_rank,主动买入成交额_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日成交额_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,SMA2开盘比值_rank,SMA20开盘比值_rank,SMA3开盘比值_rank,SMA30开盘比值_rank,SMA4开盘比值_rank,SMA40开盘比值_rank,SMA5开盘比值_rank,SMA50开盘比值_rank,SMA6开盘比值_rank,SMA60开盘比值_rank,SMA7开盘比值_rank,SMA70开盘比值_rank,SMA8开盘比值_rank,SMA80开盘比值_rank,SMA9开盘比值_rank,SMA90开盘比值_rank
"(0.44, 0.46)",-0.000213045,-0.000150683,-0.000103252,-9.87E-05,-0.000100535,-9.37E-05,-0.000167122,-0.000155231,-0.000135683,-0.000115527,-0.000157953,0.000417865,-0.000127176,-0.00013343,-0.000172939,-9.70E-05,-4.54E-05,-0.000128063,-0.000101188,-9.71E-05,-9.40E-05,-8.70E-05,-0.000122164,-0.000106225,-8.80E-05,-0.00012704,-0.000108772,-0.000117465,-0.000102761,-7.48E-05,-0.000110302,-9.06E-05,-9.62E-05,-5.09E-05
"(0.46, 0.48)",-0.000107087,9.06E-06,-8.13E-06,-7.75E-06,-1.20E-05,-1.20E-05,-7.65E-05,-8.04E-05,-5.62E-05,-0.000109924,-5.10E-05,0.000469848,-0.000125286,-4.24E-05,-0.000113099,-8.67E-05,-4.37E-06,-0.000130026,-7.06E-05,-8.19E-05,-6.47E-05,-9.13E-05,-8.69E-06,-6.92E-05,-9.79E-06,-5.74E-05,-3.05E-05,-7.50E-05,-3.16E-05,-6.59E-05,-2.07E-06,-3.27E-05,-4.09E-05,-5.40E-05
"(0.48, 0.5)",-0.000123093,-0.000236783,-1.98E-05,-2.86E-05,-1.38E-05,-2.22E-05,-9.35E-05,-9.49E-05,-9.58E-05,-7.60E-05,-9.72E-05,0.000896755,-4.27E-05,-7.37E-05,-7.50E-05,-5.41E-05,-0.000115608,-0.00013289,-6.07E-05,-9.16E-05,-5.38E-05,-3.76E-05,-5.96E-05,-7.39E-05,-8.29E-05,-7.93E-05,-8.48E-05,-4.59E-05,-7.48E-05,-3.69E-05,-5.32E-05,-6.40E-05,-7.52E-05,-7.54E-05
"(0.5, 0.52)",4.58E-06,-0.000169428,-0.000189125,-0.000181746,-0.000196886,-0.000189814,-8.82E-05,-9.47E-05,-0.000106473,-9.39E-05,-8.17E-05,0.000463103,-0.000115814,-7.16E-05,-0.000130217,-9.42E-05,-8.68E-05,-0.000115083,-0.000110529,-3.86E-05,-6.81E-05,-5.03E-05,-6.45E-05,-4.12E-05,-8.70E-05,-8.89E-05,-5.34E-05,-7.96E-05,-6.12E-05,-6.45E-05,-3.89E-05,-5.02E-05,-5.10E-05,-5.05E-05
"(0.52, 0.54)",-9.80E-06,-0.000201963,-0.000179274,-0.000181994,-0.000180494,-0.000180471,-6.54E-05,-7.97E-05,-7.00E-05,-4.76E-05,-4.49E-05,0.000116597,-0.000126415,-7.06E-05,-9.79E-06,-0.000109424,-0.000103906,-0.000109167,-1.31E-05,-6.63E-06,-4.83E-05,-3.98E-05,-4.85E-05,-7.37E-05,-6.89E-05,-5.72E-05,-4.21E-05,-8.83E-05,-3.94E-05,-6.68E-05,-3.63E-05,-2.79E-05,-4.18E-05,-5.90E-05
"(0.54, 0.56)",-5.26E-05,-5.68E-05,-0.000130682,-0.000128621,-0.000126281,-0.00012728,-0.000134899,-0.000122988,-0.000100472,-0.000125617,-9.10E-05,-8.64E-05,-5.75E-05,-0.000107159,-6.39E-05,-1.63E-05,-0.000153833,-0.000141985,-7.87E-05,-3.94E-05,-6.68E-05,-5.70E-05,-5.97E-05,-8.39E-05,-9.06E-05,-0.000108163,-7.13E-05,-8.22E-05,-5.18E-05,-9.63E-05,-8.95E-05,-7.08E-05,-6.78E-05,-8.16E-05
"(0.56, 0.58)",-4.52E-05,-0.000147757,-7.55E-05,-7.59E-05,-7.51E-05,-7.38E-05,-7.59E-05,-2.97E-05,-5.06E-05,-9.00E-05,-5.20E-05,1.33E-05,-9.33E-05,-8.39E-05,5.27E-05,-4.99E-05,-0.000157316,-0.000141494,-5.05E-05,-5.13E-05,9.52E-06,-4.41E-05,-3.00E-05,-5.65E-05,-5.56E-05,-5.35E-05,5.30E-06,-4.61E-05,-2.92E-05,-1.85E-05,7.38E-06,-3.97E-05,-2.38E-05,-3.27E-05
"(0.58, 0.6)",-8.44E-05,-5.80E-05,-0.000118745,-0.000119565,-0.000118944,-0.000119458,-9.31E-05,-7.02E-05,-0.000126004,-0.00012472,-6.63E-05,4.27E-05,-7.39E-05,-6.21E-05,5.85E-07,-7.04E-05,-0.000191676,-0.000143857,-4.65E-05,-4.08E-05,-6.41E-05,-5.26E-05,-9.87E-05,-4.43E-05,-3.30E-05,-6.04E-05,-3.79E-05,-0.000104084,-3.84E-05,-8.60E-05,-4.95E-05,-0.000108366,-6.44E-05,-6.98E-05
"(0.6, 0.62)",-0.000205638,-9.82E-05,2.79E-05,2.42E-05,2.74E-05,2.22E-05,-0.000100926,-3.78E-05,-2.04E-05,-7.50E-05,8.27E-06,-4.27E-05,-6.41E-05,-5.04E-05,5.81E-05,-4.41E-05,-0.000147736,-0.00013714,-1.37E-05,-3.83E-06,-4.28E-05,-2.34E-05,-3.32E-05,-3.90E-05,-7.18E-05,-6.48E-05,-4.84E-05,-3.03E-05,-3.98E-05,-6.36E-05,-3.83E-05,-4.47E-05,2.96E-06,-8.42E-05
"(0.62, 0.64)",-9.49E-05,-4.07E-05,-0.000232671,-0.000232443,-0.000234523,-0.000231797,-8.67E-05,-7.18E-05,1.29E-05,-7.97E-05,1.14E-05,8.11E-06,-8.22E-05,-5.11E-05,5.67E-05,-7.93E-05,-0.000138821,-0.000135784,-4.43E-05,-4.84E-05,-4.76E-05,-8.57E-05,-7.58E-05,-5.69E-05,-3.19E-05,-2.30E-05,-7.82E-05,-3.21E-05,-6.37E-06,-3.50E-05,-1.02E-05,-9.15E-05,-4.50E-05,-9.62E-05
