日期,执行策略,收益率,资金余额
2021-05-12,震荡策略,0.032805080337555914,24902.30542373359
2021-05-13,震荡策略,-0.013331391645152402,24570.323037262595
2021-05-14,震荡策略,-0.007121349828038359,24395.349171526337
2021-05-17,震荡策略,0.018345644970434893,24842.897586356954
2021-05-18,震荡策略,-0.031340142809854865,24064.31762818993
2021-05-19,震荡策略,-0.011640650581163037,23784.19331520605
2021-05-20,震荡策略,0.0032200115242517757,23860.778691776042
2021-05-21,震荡策略,0.10031347962382431,26254.3364288821
2021-05-24,震荡策略,-0.009881422924901129,25994.906227015676
2021-05-25,震荡策略,0.005009728010823444,26125.133636879884
2021-05-26,震荡策略,0.013870394452579538,26487.499545549763
2021-05-27,震荡策略,0.013464651915812142,26844.144507050823
2021-05-28,震荡策略,-0.031515520801597696,25998.137312437768
2021-05-31,震荡策略,0.030379814677581773,26787.955905951952
2021-06-01,震荡策略,0.012630006134591865,27126.2879533773
2021-06-02,震荡策略,0.006273114779189903,27296.454271242193
2021-06-03,震荡策略,-0.01732211843100384,26823.621857609254
2021-06-04,超跌策略,0.02264128580407654,27430.94314638786
2021-06-07,震荡策略,-0.0056926806257577844,27274.787547792155
2021-06-08,震荡策略,0.011271809608515815,27582.223760143588
2021-06-09,震荡策略,-0.011006328978433566,27278.64473148268
2021-06-10,震荡策略,0.003648290353940764,27378.165147925127
2021-06-11,震荡策略,-0.05599630051739102,25845.08918468715
2021-06-15,震荡策略,-0.026502113803996585,25160.13968984013
2021-06-16,震荡策略,0.017162544721798678,25591.95171247371
2021-06-17,震荡策略,0.016160191522745837,26005.522553588147
2021-06-18,震荡策略,0.024595368201925316,26645.13795607712
2021-06-21,震荡策略,0.021965749599386353,27230.418384461416
2021-06-22,震荡策略,0.006744348319343008,27414.069810927667
2021-06-23,震荡策略,0.005837291723340465,27574.093733738075
2021-06-24,震荡策略,0.02744363213882317,28330.82701872821
2021-06-25,震荡策略,-0.005371525808281374,28178.647250227157
2021-06-28,震荡策略,-0.004470222922325795,28052.682415369058
2021-06-29,震荡策略,-0.014105339105338954,27656.989817085898
2021-06-30,震荡策略,-0.030805098774969508,26805.013513952243
2021-07-01,震荡策略,-0.012355068806053193,26473.835727640177
2021-07-02,震荡策略,0.0013843634280692463,26510.485137622236
2021-07-05,超跌策略,0.009663165096398085,26766.660332292686
2021-07-06,震荡策略,0.01436728934029552,27151.224685960144
2021-07-07,震荡策略,0.0350502144625211,28102.880934123143
2021-07-08,震荡策略,0.02235515198051785,28731.125108495864
2021-07-09,震荡策略,-0.014417484426201721,28316.894559696873
2021-07-12,震荡策略,0.04930896960032527,29713.171452716582
2021-07-13,震荡策略,-0.022104018912529555,29056.390948974502
2021-07-14,震荡策略,0.021316888592931793,29675.782797746462
2021-07-15,震荡策略,0.0029521302623118917,29763.389574201483
2021-07-16,震荡策略,-0.012056994235962848,29404.53255766262
2021-07-19,震荡策略,-0.002208459947577124,29339.593825231794
2021-07-20,震荡策略,0.0015098060352287668,29383.89092106029
2021-07-21,震荡策略,0.008692543083937965,29639.31165886534
2021-07-22,震荡策略,0.044959769959770135,30971.88829281386
2021-07-23,震荡策略,-0.007026326239809366,30754.269701405618
2021-07-26,震荡策略,0.008169156241117692,31005.50613567787
2021-07-27,震荡策略,0.0052813925976002984,31169.25838626769
2021-07-28,超跌策略,-0.010268414481897747,30849.199522064126
2021-07-29,震荡策略,-0.02593105652154637,30049.247185613018
2021-07-30,震荡策略,-0.044032150789224844,28726.114202433415
2021-08-02,震荡策略,0.0010121627972683456,28755.1897065392
2021-08-03,超跌策略,0.040486637021382776,29919.390634668856
2021-08-04,超跌策略,0.010676427972241331,30238.82285375325
2021-08-05,震荡策略,0.010006200282310473,30541.39857152921
2021-08-06,震荡策略,-0.022803403728833715,29844.950729459404
2021-08-09,震荡策略,-0.004786817178305425,29702.088406621948
2021-08-10,震荡策略,0.018884949753116942,30263.01085374364
2021-08-11,超跌策略,0.010951463002498052,30594.43509745261
2021-08-12,震荡策略,0.004916055603177982,30744.839041539508
2021-08-13,震荡策略,0.03952626703718409,31960.067759510643
2021-08-16,震荡策略,0.001750164621223238,32016.003139395234
2021-08-17,震荡策略,0.033464463676894596,33087.40151353287
2021-08-18,震荡策略,-0.033468399463486787,31980.01914246917
2021-08-19,震荡策略,-9.588425825879376e-05,31976.952762054592
2021-08-20,震荡策略,0.008920582925677545,32262.205820878975
2021-08-23,震荡策略,0.04107047007675568,33587.22977965552
2021-08-24,震荡策略,0.023466890929986217,34375.41763753508
2021-08-25,震荡策略,0.022906110672855196,35162.82475836608
2021-08-26,震荡策略,0.003327814167066734,35279.840104751056
2021-08-27,震荡策略,0.0019661752202559946,35349.20645213961
2021-08-30,震荡策略,0.02817755000790534,36345.26048468454
2021-08-31,震荡策略,0.02992651873558505,37432.947603529174
2021-09-01,震荡策略,0.022839498835838246,38287.89736674197
2021-09-02,震荡策略,-0.0005613010165379517,38266.40633102892
2021-09-03,震荡策略,0.006732164510775851,38524.0220736856
2021-09-06,震荡策略,0.03503312696861083,39873.63903033459
2021-09-07,震荡策略,0.005623362285641864,40097.86294824907
2021-09-08,震荡策略,0.06855502405728986,42846.7729073122
2021-09-09,震荡策略,-0.01648686437670077,42140.36397341005
2021-09-10,震荡策略,0.03178056183085176,43479.60841624161
2021-09-13,震荡策略,0.009377481800870502,43887.33765287389
2021-09-14,震荡策略,0.058161129487598995,46439.87478096867
2021-09-15,震荡策略,0.010812703832600024,46942.01539299831
2021-09-16,震荡策略,0.009670440153439541,47395.96534353814
2021-09-17,震荡策略,-0.012529888151179613,46802.099198966425
2021-09-22,震荡策略,0.044153491804378664,48868.575302375706
2021-09-23,震荡策略,0.0014685883166676295,48940.343121116966
2021-09-24,震荡策略,-0.05382199603851301,46306.27616752874
2021-09-27,震荡策略,-0.002334406608393347,46198.17849043317
2021-09-28,超跌策略,0.009278983416914466,46626.85062253755
2021-09-29,震荡策略,-0.016199572647436322,45871.51556855659
2021-09-30,超跌策略,0.01472706044168004,46547.06815088619
2021-10-08,震荡策略,0.012484285007695384,47128.175015954475
2021-10-11,超跌策略,0.010779071556936692,47636.17298679928
2021-10-12,震荡策略,-0.007646229130685245,47271.935893233254
2021-10-13,震荡策略,-0.008345170454545414,46877.44353048788
2021-10-14,震荡策略,-0.017541028049020135,46055.164978653236
2021-10-15,震荡策略,0.03249709800915279,47551.824188792234
2021-10-18,震荡策略,0.034824459166564514,49207.790748550484
2021-10-19,超跌策略,0.014787286556680712,49935.440451170485
2021-10-20,超跌策略,-0.005924170616113722,49639.61438214697
2021-10-21,震荡策略,-0.007555526747904384,49264.560947927
2021-10-22,超跌策略,-0.025115288117190215,48027.26730575293
2021-10-25,震荡策略,0.0020333992257639544,48124.92591390801
2021-10-26,震荡策略,-0.01368146853256147,47466.50625438502
2021-10-27,震荡策略,-0.005363661170010747,47211.911997912306
2021-10-28,震荡策略,-0.01502805908618643,46502.40859483585
2021-10-29,震荡策略,0.0077323447415493796,46861.98124940351
2021-11-01,超跌策略,0.016202016520894036,47621.239843808165
2021-11-02,震荡策略,0.005471423294769906,47881.7958048154
2021-11-03,震荡策略,0.033720930232558066,49496.41450055918
2021-11-04,震荡策略,0.018744989152990055,50424.22425348406
2021-11-05,震荡策略,0.012143826322930762,51036.567275286885
2021-11-08,震荡策略,0.02018441769769197,52066.71066702763
2021-11-09,超跌策略,0.023257928376212877,53277.67449450636
2021-11-10,超跌策略,0.0526642362720775,56083.50253211188
2021-11-11,超跌策略,0.017472628512453348,57063.42873753271
2021-11-12,超跌策略,-0.0018491890298503177,56957.90767110562
2021-11-15,震荡策略,0.00110420541909928,57020.80090141661
2021-11-16,震荡策略,0.015242156334975832,57889.920863101535
2021-11-17,震荡策略,0.013597794184245338,58677.09609234024
2021-11-18,震荡策略,0.01769989601683508,59715.6745917445
2021-11-19,震荡策略,-0.016301042963604573,58742.246814623846
2021-11-22,震荡策略,0.03401722682627373,60740.49514880186
2021-11-23,震荡策略,0.03947122046212037,63137.99662379857
2021-11-24,震荡策略,-0.006565403498010491,62723.47019990731
2021-11-25,震荡策略,0.027680086264206816,64459.66126583115
2021-11-26,震荡策略,0.0021662787825373897,64599.29886236087
2021-11-29,震荡策略,-0.012307692307692353,63804.23056867027
2021-11-30,震荡策略,-0.0016576806435223412,63698.46353068174
2021-12-01,超跌策略,0.026160635835130286,65364.855838365234
2021-12-02,震荡策略,0.00015464771966477997,65374.96436426685
2021-12-03,震荡策略,0.028565843481158426,67242.45536388281
2021-12-06,震荡策略,0.03605141996333949,69666.64136157226
2021-12-07,震荡策略,0.008358464743356997,70248.94752718105
2021-12-08,震荡策略,-0.0035788739680051584,69997.53539759626
2021-12-09,震荡策略,0.08059342204911824,75638.87631029284
2021-12-10,震荡策略,0.007137182367426442,76178.7247645866
2021-12-13,震荡策略,0.003522392296890553,76447.05611788432
2021-12-14,震荡策略,-0.01970443349753681,74940.71018452701
2021-12-15,震荡策略,0.019074046758610352,76370.13279471014
2021-12-16,震荡策略,0.024846248764175183,78267.6441122806
2021-12-17,震荡策略,0.014715811775421583,79419.41603114261
2021-12-20,震荡策略,0.09982714343387733,87347.62946671827
2021-12-21,震荡策略,-0.05097787749409666,82894.83271236415
2021-12-22,震荡策略,0.01437283817788959,84086.26672872218
2021-12-23,超跌策略,-0.03530577390978862,81117.53600667974
2021-12-24,震荡策略,-0.045525707848865005,77424.60276101985
2021-12-27,震荡策略,-0.04616789988124592,73850.07145240385
2021-12-28,震荡策略,0.03079972892162841,76124.63363398077
2021-12-29,震荡策略,0.0014179527453863638,76232.57476723361
2021-12-30,震荡策略,0.06611253305308828,81272.50338625436
2021-12-31,震荡策略,0.047139792854078655,85103.6723606148
2022-01-04,震荡策略,-0.007893446985669073,84431.91103455053
2022-01-05,震荡策略,0.023721609923698317,86434.77189322453
2022-01-06,震荡策略,-0.009063398034243053,85651.37915155724
2022-01-07,震荡策略,0.020343224168005936,87393.80435793624
2022-01-10,震荡策略,0.02230103385748916,89342.77654785736
2022-01-11,震荡策略,-0.026342179294251755,86989.29310938742
2022-01-12,震荡策略,-0.001444332311679286,86863.65166257939
2022-01-13,震荡策略,0.031866415247814084,89631.68485640062
2022-01-14,震荡策略,-0.014678569959287846,88316.01989966711
2022-01-17,震荡策略,-0.027587939043228427,85879.56292613455
2022-01-18,震荡策略,0.021846988830888536,87755.7727781834
2022-01-19,震荡策略,-0.020864194991201956,85924.81922333577
2022-01-20,超跌策略,-0.0345608502744017,82955.18441130302
2022-01-21,震荡策略,-0.04833258936847584,78945.74554716532
2022-01-24,超跌策略,-0.05554343339150991,74560.82778782326
2022-01-25,超跌策略,0.0018729627235818391,74700.47743890926
2022-01-26,超跌策略,-0.044466506925815996,71378.80814151025
2022-01-27,超跌策略,-0.012379191158664149,70495.19623084889
2022-01-28,震荡策略,0.013883424795001265,71473.91098612873
2022-02-07,震荡策略,0.017093701240042503,72695.66466698301
2022-02-08,震荡策略,-3.955814300637961e-05,72692.78896148417
2022-02-09,超跌策略,0.024521986611616642,74475.36055915875
2022-02-10,震荡策略,-0.03847493036211702,71609.92624795156
2022-02-11,超跌策略,-0.028099222216869335,69597.74301737675
2022-02-14,震荡策略,-0.019179330314795795,68262.90491488221
2022-02-15,震荡策略,0.006123223664989075,68680.89394969791
2022-02-16,震荡策略,-0.025719228813461004,66914.47432309258
2022-02-17,震荡策略,-0.003928455460532998,66651.60379104933
2022-02-18,超跌策略,-0.005429094714809013,66289.7459211738
2022-02-21,超跌策略,-0.012192907165780031,65481.481203113784
2022-02-22,震荡策略,0.030551274085756752,67482.02388289144
2022-02-23,超跌策略,-0.043580470162748686,64541.1255545412
2022-02-24,震荡策略,-0.0009753620847134936,64478.17458777057
2022-02-25,超跌策略,0.01204136563252578,65254.57986329975
2022-02-28,超跌策略,-0.003039508028477522,65056.23804391032
2022-03-01,超跌策略,0.013188126876852335,65914.20796536411
2022-03-02,超跌策略,-0.004439834097372808,65621.55981733817
2022-03-03,超跌策略,-0.0262416130789781,63899.54423497257
2022-03-04,震荡策略,-0.03194379518823243,61858.350281309205
2022-03-07,震荡策略,-0.005683096567020929,61506.80330318392
2022-03-08,震荡策略,-0.04366397721879456,58821.171644952825
2022-03-09,超跌策略,0.00826701319220935,59307.44704692286
2022-03-10,震荡策略,-0.03564460158660654,57193.45672581653
2022-03-11,震荡策略,0.008297811878374528,57668.03727040131
2022-03-14,震荡策略,0.10059171597633143,63468.964096418014
2022-03-16,震荡策略,-0.03389830508474578,61317.47378806486
2022-03-17,超跌策略,0.058498349314989095,64904.444788831766
2022-03-18,超跌策略,0.05431346943701021,68429.63036719609
2022-03-21,震荡策略,0.0400224033086678,71168.34863201507
2022-03-22,震荡策略,0.05160229943676309,74840.79906854426
2022-03-23,震荡策略,-0.0346711335977028,72245.98372547993
2022-03-25,震荡策略,-0.0148356996964778,71174.16400665209
2022-03-28,震荡策略,0.0027099945860369345,71367.04560577583
2022-03-29,震荡策略,0.101010101010101,78575.83809120773
2022-03-30,超跌策略,-0.013444547687192276,77519.42148892938
2022-03-31,震荡策略,0.01978594564145908,79053.21654866669
2022-04-01,超跌策略,0.005297565338915122,79472.00612858466
2022-04-06,震荡策略,-0.009600554100116288,78709.03083430241
2022-04-07,超跌策略,0.049849997691997494,82632.67583973175
2022-04-08,超跌策略,-0.045289504807061176,78890.28287006788
2022-04-11,震荡策略,0.016671955619806722,80205.53816491165
2022-04-12,震荡策略,0.017084722745963843,81575.82754714998
2022-04-13,震荡策略,0.014337876496357982,82745.45168760921
2022-04-14,震荡策略,-0.07665819963497322,76402.33433325443
2022-04-15,震荡策略,-0.03815219769013023,73487.41736978469
2022-04-18,震荡策略,-0.04606794433714656,70102.00311691279
2022-04-19,震荡策略,-0.033519986823383086,67752.18489614112
2022-04-20,震荡策略,-0.03031304551486813,65698.40983165264
2022-04-21,超跌策略,-0.042003276811175105,62938.8613374397
2022-04-22,超跌策略,-0.035859071017572464,60681.93223897531
2022-04-25,超跌策略,-0.018769787426503814,59542.94527022023
2022-04-26,超跌策略,-0.026742484011077483,57950.6190083589
2022-04-27,超跌策略,-0.002607826592779028,57799.4938430409
2022-04-28,超跌策略,0.012280821097452543,58509.319086450596
2022-04-29,超跌策略,0.02984512063059319,60255.53677259958
2022-05-05,超跌策略,0.020266668029825796,61476.71573332882
2022-05-06,超跌策略,0.050821596244131406,64601.060558743295
2022-05-09,震荡策略,0.016666666666666607,65677.74490138901
2022-05-10,超跌策略,-0.016138133855815084,64617.82866282232
2022-05-11,震荡策略,0.004208464405136336,64889.77049468701
2022-05-12,震荡策略,0.021994720304149062,66317.00284731807
2022-05-13,超跌策略,0.0345512550742173,68608.33852845336
2022-05-16,震荡策略,-0.013258736132274018,67698.67867143087
2022-05-17,震荡策略,0.0002734647804811807,67717.19187573262
2022-05-18,震荡策略,-0.00035240464344954425,67693.32802287425
2022-05-19,震荡策略,-0.004639597104186377,67379.25825420658
2022-05-20,超跌策略,-0.03155532547947415,65253.083829429546
2022-05-23,超跌策略,-0.04661162710698308,62211.53141839147
2022-05-24,超跌策略,0.031231481422841156,64154.48970617146
2022-05-25,超跌策略,-0.020689655172413834,62827.155436388595
2022-05-26,超跌策略,0.039718194813150864,65322.53663556719
2022-05-27,超跌策略,-0.008797653958944385,64747.851562527
2022-05-30,超跌策略,0.018879668049792464,65970.26950696475
2022-05-31,超跌策略,0.007025293303008384,66433.72999952968
2022-06-01,超跌策略,-0.0019294986957357763,66305.54620414272
2022-06-02,震荡策略,-0.011869436201780381,65518.53675364845
2022-06-06,震荡策略,0.016589195208027485,66605.43654959905
2022-06-07,震荡策略,0.013329595123073412,67493.26005180077
2022-06-08,超跌策略,0.01656184486373169,68611.0729541262
2022-06-09,震荡策略,0.034385665681180066,70970.31037075384
2022-06-10,超跌策略,0.018877297565822238,72310.03803796132
2022-06-13,超跌策略,0.01737504565179182,73566.42824995371
2022-06-14,超跌策略,0.048725785830400214,77151.01027716846
2022-06-15,超跌策略,0.017001242972020547,78462.67334842746
2022-06-16,超跌策略,-0.02566328154384745,76449.06367160383
2022-06-17,震荡策略,0.023319621738477903,78231.82691868645
2022-06-20,震荡策略,-0.009121830550402055,77518.2094498858
2022-06-21,震荡策略,-0.005040122692469673,77127.50816335782
2022-06-22,超跌策略,-0.004526874092091515,76778.36164486554
2022-06-23,震荡策略,0.011864714416693456,77689.31497916348
2022-06-24,震荡策略,0.0047193055171776965,78055.9545919704
2022-06-27,震荡策略,0.0024209386380038556,78244.92326836837
2022-06-28,震荡策略,-0.02177905958367432,76540.82242238654
2022-06-29,震荡策略,0.016141057672971915,77776.27225144298
2022-06-30,超跌策略,0.014873507765733818,78933.07824076465
2022-07-01,超跌策略,-0.014382014651907915,77797.86155298578
2022-07-04,震荡策略,0.008620689655172376,78468.53277327014
2022-07-05,震荡策略,-0.049141784534239896,74612.44904300816
2022-07-06,超跌策略,0.009747739852984383,75339.75178607347
2022-07-07,震荡策略,0.010326399949686538,76117.74019512658
2022-07-08,震荡策略,0.011030713310139717,76957.37316503472
2022-07-11,震荡策略,-0.024567709177194197,75066.70680207534
2022-07-12,震荡策略,0.060038698884821384,79573.61420804031
2022-07-13,震荡策略,-0.040116685581310874,76381.38454628782
2022-07-14,震荡策略,0.018992111150359037,77832.02829140924
2022-07-15,震荡策略,0.029155939929463637,80101.29423286188
2022-07-18,震荡策略,0.04721030042918439,83882.90039836179
2022-07-19,超跌策略,-0.006524927981747641,83335.57051436236
2022-07-20,超跌策略,-0.017589474176595843,81869.7416488081
2022-07-21,震荡策略,0.026682618517265055,84054.2407333303
2022-07-22,震荡策略,-0.023950714604326295,82041.08160224296
2022-07-25,超跌策略,0.02887709137709149,84410.18941234636
2022-07-26,震荡策略,-0.007595529488537367,83769.04932953186
2022-07-27,超跌策略,0.039333069842648616,87063.9431974626
2022-07-28,震荡策略,0.022565848333381933,89028.61493496272
2022-07-29,震荡策略,-0.013770796823954323,87802.61996717528
2022-08-01,震荡策略,-0.06740275091338921,81884.48184398479
