candle_end_time,open,high,low,close,amount,info,ÅÅÃû,±ê×¼»¯³É½»Á¿,µ±ÈÕ³Ö²ÖÕÇµø·ù,µ±ÈÕ¿ª²ÖÕÇµø·ù,µ±ÈÕÆ½²ÖÕÇµø·ù,×Ê½ðÇúÏß,signal,pos,×´Ì¬,×îÖÕÕÇµø·ù
2007-02-01,2350.6,2410.42,2310.57,2395.17,65078100.0,,14.0,-0.3500000000000001,0.004125215379004121,0.018838855648051513,-0.01467808311638219,1.158715875941541,0.0,1.0,¿ª²Ö,0.018838855648051513
2007-02-02,2397.06,2403.62,2293.28,2298.0,59377200.0,,11.0,-0.5,-0.040569145405127904,-0.04144065101114298,0.0006689933491148548,1.1117077630872385,,0.0,Æ½²Ö,0.0006689933491148548
2007-02-05,2282.77,2304.32,2247.93,2271.8,47587500.0,,3.0,-0.8999999999999999,-0.011401218450826756,-0.004924974171732124,-0.006746706875544017,1.099032940026801,,0.0,¿Õ²Ö,0.0
2007-02-06,2271.37,2316.7,2198.9,2316.04,67010600.0,,19.0,-0.10000000000000009,0.019473545206444065,0.019544199556644035,-0.00030925451184093955,1.120435007667784,,0.0,¿Õ²Ö,0.0
2007-02-07,2330.43,2390.87,2330.43,2369.79,70106400.0,,21.0,0.0,0.02320771661974752,0.016767574791296695,0.006092445899034349,1.1464377458165826,,0.0,¿Õ²Ö,0.0
2007-02-08,2376.63,2415.96,2354.7,2410.6,62656500.0,,15.0,-0.30000000000000004,0.017220935188350106,0.014171647546515316,0.0027659853404733425,1.166180475934768,,0.0,¿Õ²Ö,0.0
2007-02-09,2412.64,2417.64,2376.02,2397.25,55515500.0,,6.0,-0.75,-0.005538040321911519,-0.006498124661674293,0.0007261607898449984,1.1597221214364153,,0.0,¿Õ²Ö,0.0
2007-02-12,2397.85,2485.76,2396.79,2485.39,54992300.0,,6.0,-0.75,0.036767129001981314,0.03638333881824201,0.00013025675252897884,1.2023617742817196,,0.0,¿Õ²Ö,0.0
2007-02-13,2498.34,2526.23,2489.66,2522.63,51528900.0,,5.0,-0.8,0.014983563947710499,0.009601303554165216,0.005089824615050587,1.2203774388149524,,0.0,¿Õ²Ö,0.0
2007-02-14,2527.56,2594.66,2520.53,2588.35,62777300.0,,15.0,-0.30000000000000004,0.026052175705513658,0.02392799192413552,0.0018340750724441524,1.2521709262780043,,0.0,¿Õ²Ö,0.0
