日期,日期,收益率,资金余额
38,2021-07-04 00:00:00,-0.014255946131213504,0.37642735203639377
39,2021-07-05 00:00:00,0.05593070381580345,0.3974811987713085
40,2021-07-06 00:00:00,-0.04420900017702567,0.3799089523844633
41,2021-07-07 00:00:00,-0.07289680081795225,0.3522148051535362
42,2021-07-08 00:00:00,0.04517948435978236,0.3681276884342542
43,2021-07-09 00:00:00,0.032737991642778574,0.3801794496216902
44,2021-07-10 00:00:00,-0.06564268529445971,0.35522344965475267
45,2021-07-11 00:00:00,-0.0941889469711703,0.321765326992305
46,2021-07-12 00:00:00,-0.06612637834939794,0.3004881512398941
47,2021-07-13 00:00:00,-0.11031577205393206,0.26733956884280646
48,2021-07-14 00:00:00,-0.20727959564487142,0.2119255311131953
49,2021-07-15 00:00:00,-0.14128588071680015,0.18198344580349185
50,2021-07-16 00:00:00,-0.018613675288294607,0.1785960650354607
51,2021-07-17 00:00:00,0.04193679256419225,0.18608581116763379
52,2021-07-18 00:00:00,0.09032360760565927,0.20289375295651996
53,2021-07-19 00:00:00,0.15863600936386923,0.23508000825040104
54,2021-07-20 00:00:00,0.28644635885130443,0.30241782065246303
55,2021-07-21 00:00:00,0.1211813678462863,0.3390652258202214
56,2021-07-22 00:00:00,0.1833701700885655,0.40123967394999327
57,2021-07-23 00:00:00,0.1706244145802116,0.46970095842406584
58,2021-07-24 00:00:00,0.17651040257560302,0.5526080636856443
59,2021-07-25 00:00:00,0.15011138313869044,0.6355608244590899
60,2021-07-26 00:00:00,0.11044740899085737,0.7057568707766895
61,2021-07-27 00:00:00,0.10115306495924647,0.7771463413717985
62,2021-07-28 00:00:00,0.0822987036783287,0.8411044778350534
63,2021-07-29 00:00:00,0.10414522341467536,0.9287014915942688
64,2021-07-30 00:00:00,0.6112865001673042,1.4964041760910847
65,2021-07-31 00:00:00,0.3112572351265235,1.9621708025729792
66,2021-08-01 00:00:00,0.20297654176777513,2.3604454464369424
67,2021-08-02 00:00:00,0.1671135290219592,2.7549078150548336
68,2021-08-03 00:00:00,0.2504447562897183,3.444860031396882
69,2021-08-04 00:00:00,0.2491219431024967,4.3030502561346005
70,2021-08-05 00:00:00,0.22189719404740305,5.257885033815827
71,2021-08-06 00:00:00,0.22230020564741082,6.426713958103529
72,2021-08-09 00:00:00,0.2241616766467065,7.867336934280808
73,2022-01-12 00:00:00,-0.10632087628865972,7.030874777369935
74,2022-01-17 00:00:00,-0.315027027027027,4.815959198855774
75,2022-01-24 00:00:00,-0.002558080786996708,4.803639586158221
76,2022-01-26 00:00:00,-0.009750708109353523,4.756800698691056
77,2022-01-27 00:00:00,-0.04779269524993435,4.52946037253384
78,2022-01-28 00:00:00,0.01813208391851795,4.611588928114225
79,2022-01-29 00:00:00,0.04024395793220914,4.797177518937895
80,2022-01-30 00:00:00,0.09907491829535053,5.272457489674959
