日期,日期,收益率,资金余额
76,2021-02-03 00:00:00,-0.027137612161518998,6.885492310333715
77,2021-02-04 00:00:00,0.36809011135542025,9.419973941581343
78,2021-02-05 00:00:00,0.7201959625308876,16.204201141454398
79,2021-02-06 00:00:00,0.6156844638130894,26.1808760327502
80,2021-02-07 00:00:00,1.0640663581259289,54.03906544546512
81,2021-02-08 00:00:00,0.7584233402274378,95.02355396338389
82,2021-02-09 00:00:00,0.43067273772933334,135.94760809756548
83,2021-02-10 00:00:00,0.4312541147637734,194.57557348193347
84,2021-02-11 00:00:00,0.09500236336879175,213.06071281655517
85,2021-02-12 00:00:00,-0.03581860233154188,205.42917587170413
86,2021-02-13 00:00:00,-0.029001729069628834,199.47137457007582
87,2021-02-14 00:00:00,0.13207344592274328,225.816246372492
88,2021-02-15 00:00:00,0.26376619533575196,285.378938523165
89,2021-02-16 00:00:00,0.46497800191760175,418.0738671470324
90,2021-02-17 00:00:00,0.6915018480785513,707.172718912552
91,2021-02-18 00:00:00,0.5014604268168736,1061.7918523716894
92,2021-02-19 00:00:00,0.16375887008611323,1235.6696863827185
93,2021-02-20 00:00:00,0.04187705431758926,1287.4158929579662
94,2021-02-21 00:00:00,-0.21001893107656044,1017.0341832679586
95,2021-02-22 00:00:00,-0.21092193920942304,802.5193610908091
96,2021-02-23 00:00:00,-0.14166004473483373,688.8344324981149
97,2021-02-24 00:00:00,-0.20863741339491926,545.1177982443511
98,2021-02-25 00:00:00,-0.06795913795678798,508.0720625907627
99,2021-02-26 00:00:00,-0.10801074337203276,453.19482142377245
100,2021-02-27 00:00:00,-0.029786647048004378,439.69566723403915
101,2021-02-28 00:00:00,0.08299743808710525,476.18928115246473
102,2021-03-01 00:00:00,0.044277299501585876,497.2736565734973
103,2021-03-02 00:00:00,0.17597968322849233,584.7837171351755
104,2021-03-03 00:00:00,-0.0048327067841894555,581.9576288980928
105,2021-03-04 00:00:00,0.12506731475264066,654.741506844191
106,2021-03-05 00:00:00,0.21149050927967372,793.21312157321
107,2021-03-06 00:00:00,0.14801967527647708,910.6242702535172
