,_id_rank,时间_rank,开盘_rank,收盘_rank,最高_rank,最低_rank,涨跌幅_rank,涨跌额_rank,成交量_rank,成交额_rank,振幅_rank,换手率_rank,代码_rank,日期_rank,timestamp_rank,开盘收盘幅_rank,昨日振幅_rank,昨日成交额_rank,昨日成交量_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,过去2日总涨跌_rank,过去2日总成交额_rank,过去2日资金贡献_rank,过去3日总涨跌_rank,过去3日总成交额_rank,过去3日资金贡献_rank,过去4日总涨跌_rank,过去4日总成交额_rank,过去4日资金贡献_rank,过去5日总涨跌_rank,过去5日总成交额_rank,过去5日资金贡献_rank,过去6日总涨跌_rank,过去6日总成交额_rank,过去6日资金贡献_rank,过去7日总涨跌_rank,过去7日总成交额_rank,过去7日资金贡献_rank,过去8日总涨跌_rank,过去8日总成交额_rank,过去8日资金贡献_rank,过去9日总涨跌_rank,过去9日总成交额_rank,过去9日资金贡献_rank
"(0.36, 0.38)",7.883767832775466e-05,,0.0005464076633838293,0.0004986981525085142,0.0005024554023163236,0.000555217319732859,0.000908474209007337,0.00030261500349441337,0.0006048090597402918,0.0002367444162593287,0.0003439052974919255,0.0012293603139822416,0.0006135026762718968,,,-0.003189596985095567,0.00027801987977159234,0.0001867175130237374,0.000588403345822239,0.0009391754212608852,0.00011915130782891763,0.00026357143095957395,9.848712748297087e-05,0.00044821709798151114,0.0002980661244747425,0.0002897916357687264,0.000190053289181106,0.0002481921009840411,0.00023151242741335584,0.00045135819824212444,0.00012175434344181907,-1.415284224650834e-06,0.000238084088948843,0.0001347880502320047,5.12636157304715e-05,0.0004327642983809218,0.00022359219665962275,0.00032367437346965427,0.00042722818108885993,0.0002269002249236341,2.125243611831252e-05,0.0005718806677130089,0.0002545357535422117,0.00029753290813007855,0.0003849025694936028,0.00027044994898789323
"(0.38, 0.4)",9.02041849346557e-05,,0.0004196909680338551,0.00040982678376749314,0.0004228955815242326,0.00041746944734804696,0.0009049191830515764,0.00018392463124789412,0.00013271490524539883,0.0002462466678252414,9.745833074534845e-05,0.000258453727033632,0.0004633624310167508,,,,0.00017882300508842582,0.0003037204733419946,0.00018882777903968148,0.0007865973699030748,0.00024057252732857283,0.0002612377672291362,0.0005316712947560138,0.00023633427714730415,0.00022328656309598754,0.0002497285137992101,0.0003486602916406147,0.00020111893812095166,0.00022464793860469784,0.00024112720720968972,0.00010526882644001942,0.00023936064146383898,0.0004324462367801951,0.00024372691992753748,-0.00014433526795623488,0.0002384946213405146,0.00016845583008781232,0.0002740861101572561,0.00017210921039776934,0.0003544102865121631,0.00032212446909532234,0.00026432552305529015,0.0002502272012765194,6.887095436268226e-05,0.00028473789789625466,0.0001310032640083227
"(0.4, 0.42)",0.00018374557299075708,,-8.088915127990128e-06,4.843180744981642e-06,7.91286790143562e-08,-1.4602396975726988e-05,0.0015177060447149236,0.00042188164751175036,0.000323820722240589,0.000266313729457867,0.0001906900118023338,0.0004406740026797989,0.00016963256862373042,,,,0.0004053738374137226,0.0003080142221190182,0.00041690296337034126,0.0010514071174099646,0.00033168697342636966,0.00029603446132180967,0.000660150409587944,0.00029644211265436474,0.0002908152066882997,0.0007091190930565234,0.00032579069829470023,0.00024491887301882206,0.0005046519987447843,0.00030026868800668474,0.0002566749278424149,0.0002717373863957133,0.0005242191623432723,0.00032476566503360053,0.00031161826757663364,0.00028321337299919776,0.000273198985388309,0.0003345506309380431,0.0002960833615877249,0.0001840528470551945,6.763512333300142e-05,0.00019688940321584646,0.00018121625827346795,-1.415684081342518e-05,0.00026012546618584854,0.00025982636410146133
"(0.42, 0.44)",0.00014897198195331477,,0.0004770013462500239,0.0004943796256938219,0.0004710585614725539,0.0005199216936816515,0.0010935977787595863,8.492837991630962e-05,0.00036427384480119463,0.0003553749899366865,0.00033807960177040464,1.8202933084880625e-05,0.0003492345462757487,,,,0.0002283314266911125,0.0003771667657099257,0.0003159456712350611,0.0008629708347474902,0.00018955869828191703,0.00029662001687758406,0.0002626699583373651,0.00043371164972836885,0.00013135354775372778,0.0005332195826407152,0.00021873974145881714,0.00017912968889227183,-2.098774351027388e-05,0.00040379239738121283,0.0002162916720836257,0.0001008705668487751,0.0002532422362375635,0.00020012708644144764,0.00017277005742287723,0.0002512537668944402,0.0003201344085110059,-2.8254459241797782e-05,0.00021937772521663773,0.0003340555665820166,0.0001727013008125988,0.0001919830773919365,0.0002156037187345678,0.0003178730479164949,0.0004648607974440422,0.00013203950146254502
"(0.44, 0.46)",7.250953153074493e-05,,0.0010804221715862662,0.0010809829901262684,0.0010940098230974987,0.0010218345069932804,0.0005473661639235784,0.00021244156379737267,0.00033972979028478275,0.00017139730359058746,0.0005307244324074567,0.000150400443180232,0.0003403903501656473,,,,0.00028179050077310877,0.00023210514030506555,0.0003110063621283278,0.0004222648769560217,0.00023443727420315673,0.000332004919892241,0.0005839656331576571,0.0002858635662828273,0.0003745008454409778,0.00029272735757143297,0.0003751604268867163,0.00012211546095665818,0.0005321024882564272,0.00022326802704665413,0.0003389713194082499,0.00023721367286003658,0.000147433307974379,0.0003368057215919614,0.0002418631375655629,0.00042840299372890367,0.000106244931834752,0.00012783145672747245,0.0003572199421569199,0.00019003691432159162,0.00028737063807029203,0.0004737051863738411,0.00021525322852040715,0.00010562761441846356,0.0003948292675208719,0.00016000133684095755
"(0.46, 0.48)",0.0002146488720631378,,0.00016927204776933505,0.00014182965822824678,0.0001439366454192027,0.00016787063169440764,0.000944921730143413,0.0008626150630258063,0.00021377239512078967,0.0003268659008835135,0.00027586654551820726,0.0005124315035358943,1.4717847969397551e-05,,,,0.0003773380958853788,0.00033546101277528973,0.00020077857283804404,0.001037264166279057,0.00030079818592942893,0.0002764453772857194,0.0007134034433476737,0.00017129710328361492,0.00030811013122145395,0.00026048425303095546,0.0004844764040534805,0.0003296765059790501,-3.162272038085909e-05,0.0003059675729804947,0.00037502525834012655,0.00014015161651438336,0.00025095485614740873,2.951721155588404e-05,0.00017041768038489512,0.00030662992716508456,0.00026864026949020424,0.00027067012456675376,0.0005279995238857498,0.000245579588382346,-0.00019814855489190485,0.00030854097188391454,0.00016185157058861706,0.0003188843426057083,0.0003219139073367195,0.00026196126095888916
"(0.48, 0.5)",0.00014172821583466374,,0.00036451575881447023,0.00031040358463025426,0.00031830818816605934,0.00034530112826269225,0.0009632574518858045,0.0007670460413586586,0.0003103124258065601,0.0003175518267835796,0.0003539381527445741,0.00044285699175837957,0.0001615184080599849,,,,0.00036719955057481444,0.0002903684688941063,0.0004302195380568847,0.0014664137079443377,0.00033606450874474697,0.0004569144977883088,0.0008125380380669887,0.0002724949300054201,0.0002052861880331943,-2.292840776273667e-05,0.00028373232260254854,0.0002925289511077256,0.0002706438818180748,0.00020473184608050228,0.0002514999216447457,-5.6095246016763855e-06,0.0003279998555250998,0.00035866322662581794,-0.00013060576709151897,7.00805750096407e-05,0.0003170445690193613,0.0001405053726262232,0.0002025398714461086,3.4210746096126754e-05,0.0004442054656623289,0.00033811750833122594,0.00017937796986264363,8.2580806397289e-05,0.0002531788753198967,0.00030446202387333405
"(0.5, 0.52)",-3.628087176064074e-05,,0.00043821827044372344,0.0005278422673054155,0.0005342545825714075,0.0003798556550528285,-0.00024426241542262244,-7.616261594981701e-05,0.00039003820492628487,0.00038316390999828495,0.00030345860660646275,0.0009458478699581711,0.0005362075808164573,,,,0.0001740395856517764,0.0003489155471283639,0.000527613295216238,0.00021774707711726382,0.000323448631412924,0.0003936836330819817,0.000510937499622238,0.0003305653273065107,0.00031555829963491537,0.00016174237463191388,0.0003163048271775317,0.00034128867625531957,0.00028969802341478884,0.00016035884605957517,0.00021712117293621333,0.00013181075730527342,0.00030507752804145237,0.0002981538011740114,0.0001746855043110785,0.00030285725529667965,8.370474986000991e-05,0.000275050669596117,7.3246392095107104e-06,0.00017909235107231626,0.00035186955383165885,0.00021690980644859995,0.00036357814949516037,0.00018904374717575973,0.00030477754222541935,0.0002880638465117762
"(0.52, 0.54)",0.00015804342358095646,,0.000387652440236261,0.0003616653620800232,0.0003534118514815567,0.00041612977196154894,0.0003160311162030279,0.0005698406051343544,0.0004179776329211122,0.00016837557112234103,0.0001842573450238101,0.001055449065923545,8.820622141099421e-05,,,,0.00043778515333280137,0.00022255235429003692,0.0003546640771281977,0.0003787917620156967,0.0003180118378432427,0.0003306009348672341,0.00017590937417475943,0.00024181067676200537,0.00021402087911327085,0.0002967012638563183,0.0002544920122673191,0.0003379802293514729,8.187038704042902e-06,0.0004283292307199544,0.0002942227272132806,0.00014831580151271678,9.189539997009392e-05,0.00034516544355187224,0.0004794447169619559,0.0003061271589802111,0.00029306178264805786,2.0544185763309447e-05,0.00021153448703509401,0.0004354159142359661,-0.00013314751668268,0.000197009192023979,0.00031424913226435415,7.683149604539534e-06,0.00023881311383162597,0.000300214822438203
"(0.54, 0.56)",0.00022096898797277644,,0.0005028710250976306,0.0005161190749119236,0.0005123563766380786,0.0004864333476621672,8.776991071180834e-05,-1.2078238040847349e-05,0.00025264421571625346,0.0002791373533263974,3.028240688978583e-05,0.0013390923666252777,0.0003829948749011953,,,,0.00021386881479919335,0.00026439046814974264,0.00031198291512208795,5.2086522719883815e-06,0.00014093853768896915,0.0003143720940124076,-8.969184229487618e-07,0.0003285477005967403,0.0002223112844177686,0.00022839191444795016,0.00021008697998041727,0.0004625068417288749,0.0003153121669617894,0.00036357154113791137,0.00023455876953440254,0.0001622033206503787,0.00024727704418840837,0.00015026179297506973,0.0001315085263237476,0.0001267152792415451,0.00030815704852748914,0.00017923466587153712,0.00020172522864716274,0.0004447251443587314,4.0498366841643147e-05,0.00021116286090167182,0.00033218795274852646,2.8601791313737307e-05,0.00020727180207152094,0.0004011752931350669
"(0.56, 0.58)",0.00044677663400115195,,0.00011094468028974136,0.00010404154466655023,0.00010433400979163351,0.0001241996594808453,-0.0003831811494964319,-0.000641000570321555,0.00019739978245960737,0.00024106849429287238,0.00037217627623835375,0.0003997388420676293,0.0005173641169803362,,,,0.0002802548649344207,0.0002764582416833128,0.00012076601056341782,-0.00012998395237154794,0.00042028422199664,0.00033103030176312117,0.0005600559718413924,0.00016159954916159232,0.0004031359288037404,0.00011162232773829972,0.00021553416329940273,0.0002451496915054517,0.00010762204910577693,0.0002382929195348188,0.00038323229348894886,0.0003378898034460428,0.0002831071771816004,0.00022220353589183996,0.0005064788917395397,0.00029761647995512816,0.00034259020813429933,0.00015453968079671794,0.0003479087288604647,0.00027374213135956813,0.0004390645844635613,0.0002008941967794131,0.00034267683311799314,0.00013478879103375616,0.0001530267046488037,0.00049050262944382
"(0.58, 0.6)",0.0004505164470405378,,-7.399176810927768e-05,-7.872537332485984e-05,-7.761260531871144e-05,-7.785120815571373e-05,0.0002501225136390636,0.00036717186316622796,0.0001999198868392525,0.0002832914842982525,0.0002757390014579282,0.0013380142083919619,0.0009815648718174755,,,,0.0003915149953921691,0.0003266654303470019,0.00012751983035281836,0.00026600442164957053,0.0002715309153482449,0.00037067931612944793,-4.5274305353460345e-05,0.00024974712495792257,0.00034435040781903906,0.0002630274012718583,0.00019588728528396746,0.0003161423441906611,5.497801453751224e-05,0.00021570576403181162,0.0003530508698567968,0.00032818718913979835,0.00036627851755785074,0.00047502016675519216,0.00021800903611511136,0.0002619857308038408,0.0003240418651710624,0.00025147068736666896,0.0001699519302142299,0.0002673861960284478,0.00010874013494513908,0.0001764454770713991,0.00017873044541336398,0.0004957524551823015,0.00018189799417953084,0.0002241538962021484
"(0.6, 0.62)",0.00010148675804188366,,0.00024522739882866106,0.00023392177194989861,0.00023187177785173965,0.000235490629905188,-1.9884527337944814e-05,1.4720003529988035e-05,0.0003093622577436357,0.00026395023525374204,0.0003519994064394651,-0.00025080608329997424,0.0002398035303165929,,,,0.00047519641406959404,0.0002524226683984134,0.0002772187958555925,0.0004886642986272387,0.0002775349738511545,0.000427237591042953,0.00017996389381419656,0.0002862786621622441,0.00021924198847426515,-2.2698400401535646e-05,0.00015237449255159816,0.0003426987158364111,0.00044339535124220824,0.00014736732719419483,0.00022534200972598907,0.0003419096301258393,0.00016960254887282396,0.00040526162862944187,0.00026724731747670223,0.00014794860218788483,0.00018489079885403552,0.0001720276088109951,0.00035768383376241726,0.00020829732267980036,0.00039218674552782555,0.0002897970843162922,0.0002550866187901004,0.0004401259407544925,0.00018085412170313448,0.0004112051951773026
"(0.62, 0.64)",0.00021603778477936257,,-3.014177207034183e-05,-2.899343208430964e-05,-2.5481043945241897e-05,-2.917719003774424e-05,-9.255137440209575e-05,-0.00015125787239914502,0.00023510868217639275,0.00019542393574140067,0.0003586217570912305,,0.0003437767408728421,,,,0.0004216352586047228,8.832915085059897e-05,0.0003353723269532683,-2.058836160193039e-05,0.00017214553240835895,0.0003508100642788794,0.00029614213982123586,0.00027265829821015715,0.0004392526994952366,0.0003337627582032501,0.00032484285708796033,0.0001661786766046761,0.00020064502418594825,5.957021739377467e-05,0.00039162648591795464,0.00015054934508985693,0.0001114906340950558,0.00034916704973187996,0.00021535594857239874,0.0002190103894276008,0.00041108444623698756,0.0001555883543170657,0.00023724343913423835,0.0003492588266953409,0.00024546103327482033,0.0002679823927771637,0.00045876324314577576,0.00023557411202881798,0.00030897875234014934,0.0002935098936740259
"(0.64, 0.66)",0.0004502140010085568,,0.00030004931072605024,0.0003148687463175831,0.00030725832350711615,0.0003312396987834123,0.000233553551946259,0.00021375696029471674,0.00029925903427976594,0.0003274393257518085,0.0004207943781477731,6.591224586084468e-05,0.0005578951144170478,,,,0.00046585987965414586,0.000332402206377223,0.0003376790107822077,0.00038736801125128335,0.0003812719944825279,0.0005724636129709262,0.0001592552992364577,0.0003429202296971367,0.0002970539520409476,0.0001487858108867875,6.223727850016815e-05,0.00029107827169174425,0.00039599728360727236,0.00013083048284187943,0.0003857485678758548,0.00020057618864038478,0.0002030440539090719,0.00038768405621697943,0.00023320037335727107,0.0002575465574856134,0.00038184513040402375,0.0002434497479245797,0.00015963371649478595,0.0004766643827652183,0.00030795147357615143,0.00018116433798417885,0.0004260399910205434,0.00025154649508234313,0.00010590317852814004,0.00037008383567953306
"(0.66, 0.68)",0.0002758017460406886,,0.00013908571492539715,0.00013772727965598793,0.0001397051631213598,0.00012589793893175375,0.00040813685806254975,0.00041062746819740033,0.00020591721780119818,0.0002660560545621932,0.00032239188621987217,,0.00035378404648367715,,,,0.00038700565837002397,0.0003167370831501413,0.0001894654932299594,0.00040645511764769406,0.0003443239445384103,0.0005092629588280681,-5.702544725370689e-05,0.00024745812539838193,0.00036507740271634443,0.0005025080371971917,0.0002587524614282258,0.00030231302766277817,0.0002755032220254584,0.0001554317243524364,0.0002638911122077497,0.00042576488678362,3.8122954737837324e-05,0.0002321143421227795,0.0001607308603120231,0.00019361627498091512,0.00038944911488618774,0.0003364856169053156,0.0002400722110715963,0.00030890867655793705,0.00031491258334289833,0.00013105622470148444,0.00030676310643859344,0.00010398410273786303,0.00017087994804217162,0.00030311674839507
"(0.68, 0.7000000000000001)",0.00048471171517566123,,-8.772060863670324e-06,6.3125949406778646e-06,1.935977810066869e-06,-1.3136701164971293e-05,-5.31896521152793e-05,-7.65098550288023e-05,0.00031624323531156306,0.00026085560411941806,0.00034580020327336093,0.0009562102379521315,0.00018403841162293165,,,-4.613997860193673e-07,0.0003293965068393494,0.00023698398288205864,0.00038423846206377707,7.959833262765104e-05,0.00021434662300828786,0.0005808391126022503,0.00041788302672754923,0.00018180016186338657,0.0003096883969303639,3.435114712066678e-05,0.00020102473844221526,0.00029508048076645993,-4.318138682663605e-05,0.00027110601094298807,0.00035028822441558754,0.00023322685859802322,8.266143845087623e-05,0.0004645964281812467,0.00024008389980417847,2.883312236993044e-05,0.00038712816716898155,0.00035804045761220926,9.657714338372305e-05,0.000331049407532235,0.00017580566976210148,9.030586007712281e-05,0.000278571815958264,0.00046527305942208795,0.00029512752494982244,0.0003659437031423044
"(0.7000000000000001, 0.72)",6.315044803701205e-05,,0.00019416628784179476,0.00017595869434259984,0.00020419010055126584,0.00018932175243659437,0.0002377035073979331,0.00014667104992960358,0.00036976354595565466,0.00030776524428550967,0.00035455799917177237,0.0007329167046589844,2.8016540873659616e-05,,,0.00019976126455337832,0.00039050631228776844,0.0002722262290050696,0.00040176592072861894,0.0001242956078892566,0.0003411593853143663,0.000697449798354014,0.00010104369285884369,0.00024432551336162474,0.0003542360171189713,0.00018217315660562587,0.000351177449768969,0.00036904564170276593,0.0003075910555621552,0.00029326145137945585,0.00038682930341513985,0.0003597273026709223,0.00024558913196642666,0.0002816937606848005,0.00019041305884041435,0.00025830992028643763,0.0002602417539867772,0.00024726414064391955,0.00015085718058074416,0.00015706469324149695,0.0003205494344367303,0.0002584338219577706,0.00031917886349366593,0.00046600315139215667,0.00017724218175475101,0.00023894093358726477
