,_id_rank,timestamp_rank,代码_rank,日期_rank,开盘_rank,最高_rank,最低_rank,收盘_rank,成交量_rank,收盘timestamp_rank,成交额_rank,成交笔数_rank,主动买入成交量_rank,主动买入成交额_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日成交额_rank,昨日成交量_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,过去2日总涨跌_rank,过去2日总成交额_rank,过去2日资金贡献_rank,过去3日总涨跌_rank,过去3日总成交额_rank,过去3日资金贡献_rank,过去4日总涨跌_rank,过去4日总成交额_rank,过去4日资金贡献_rank,过去5日总涨跌_rank,过去5日总成交额_rank,过去5日资金贡献_rank,过去6日总涨跌_rank,过去6日总成交额_rank,过去6日资金贡献_rank,过去7日总涨跌_rank,过去7日总成交额_rank,过去7日资金贡献_rank,过去8日总涨跌_rank,过去8日总成交额_rank,过去8日资金贡献_rank,过去9日总涨跌_rank,过去9日总成交额_rank,过去9日资金贡献_rank
"(0.2, 0.22)",0.00011711397808171507,,-1.448428261766085e-05,,1.0834405862548422e-05,1.082919701357604e-05,1.2855591528786951e-05,1.2855591528786951e-05,-3.5251444034834387e-07,,6.921036720677146e-05,9.994727758408431e-05,5.3416996663658394e-05,3.4123987894217085e-05,2.5434189965916428e-05,-6.0950206359824686e-05,6.652120970324825e-05,4.746449425841722e-05,1.3988127025299987e-06,6.855464103829549e-05,-0.001163516910958825,-0.0003621564985706155,5.061060928804093e-05,0.00011505165243918834,-0.0006806543653097224,-2.3400035057185483e-05,4.0272819387303894e-05,-0.0007224728862828161,4.9744597906651744e-05,1.1010839588601621e-05,-0.0004030629080325763,-4.8505743247922915e-05,1.45394310200975e-05,-0.0003862455805774092,6.877189541918553e-05,5.613946086737009e-05,-0.0005286855925206636,9.74796172507188e-05,1.1950572266312334e-05,-0.00025983728621389586,3.962550544192279e-05,1.5746451888852958e-05,-0.0003792020542044271,7.53391942456917e-05,1.3345049629706728e-05,-0.0002851497144873905
"(0.22, 0.24)",8.452028249956847e-05,,-2.329936083272429e-05,,-4.158941272554007e-05,-4.1602437909606965e-05,-4.2887566088875155e-05,-4.2887566088875155e-05,-2.6827321578888288e-06,,2.084356053492568e-05,3.44704476063812e-05,1.488050053187575e-05,4.0660130662638695e-05,8.875512447896228e-05,-0.00014672917901399786,2.0585196364967977e-05,1.1225495497876357e-05,1.0260911517774678e-05,-0.00011436106560924697,-0.0009049505923898646,-0.00013822171282196942,-6.685131613118933e-05,-7.626084103624113e-06,-0.0005205182583189314,-3.990387765871775e-05,7.898229773057889e-05,-0.00016143765343313107,4.741536646132114e-05,3.5279523923388905e-05,-0.0004614478556401153,5.519486200022509e-05,2.5709204051966287e-05,-0.00036413638166712454,-8.138508235329568e-06,1.0969366903814186e-05,-0.00026018630718608417,1.9994211963108156e-05,4.8182982270946656e-05,-0.000298973582075853,8.61573266376275e-05,2.520048231919231e-05,-0.00019034797173302103,5.298818687510086e-05,4.317902352919436e-06,-0.00031698338935360313
"(0.24, 0.26)",0.0002752849084492003,,-0.0001313439476077476,,1.6359205651195577e-05,1.4875189011753539e-05,1.5526656108758324e-05,1.452423806157728e-05,-1.53437893907649e-05,,7.986317528931005e-07,7.314037485336153e-05,3.39611547760404e-05,5.1296692182187644e-05,8.56948601077654e-06,-3.532929695999429e-05,-3.167036034100653e-05,2.144263925079645e-05,4.0699934394015915e-05,-2.177433073228134e-06,-0.0007398728343951408,-0.00010033920299679887,6.882387854724331e-05,1.0716536800168404e-06,-0.0005104248522095588,-1.2482888889944081e-05,-2.1113136894739704e-05,-0.00041983312011730276,1.3269276311437588e-06,6.159886103863432e-05,-0.0005337356931155987,2.470542398630956e-05,1.9967381819592782e-05,-0.0004104475697104305,0.0001045326135466056,3.115339737057071e-05,-0.00016733048255517704,-8.916659867118816e-06,-7.035687281602081e-06,-0.00022758355207375464,4.5362297238673653e-05,5.7658977678081814e-06,-0.00021360177880005036,9.246603713636063e-05,-9.92404187296847e-07,-0.00023562677581255134
"(0.26, 0.28)",-3.6683972961634194e-05,,-0.000167880751488814,,3.377476556901467e-05,3.829666261356766e-05,3.3522345664575544e-05,3.2395415979573985e-05,5.536759523860763e-05,,0.00011369287872823679,-3.0599196194264784e-06,-3.9125985458381485e-05,1.5845298447899794e-05,-2.139753587430968e-05,-6.0042913629935214e-06,-3.437384643039851e-05,8.464570386183729e-05,4.1196549064526365e-05,-3.554845875785112e-05,-0.0005434979619200852,-0.00017524335375726822,3.583931570493029e-05,-9.818088517334853e-06,-0.0003841319872815591,8.346379425964092e-05,8.789927440961529e-05,-0.00032688900173771606,-7.69120312267413e-06,-1.5999470578894327e-05,-0.00020158358295189964,8.971036760779714e-06,-2.9814010077998497e-05,-0.00017258480575168574,5.447625703645951e-06,-8.604463609771395e-05,-0.00022530698441827982,-4.886521617687186e-06,4.051314553074873e-06,-3.0059131509230068e-05,6.550729847742931e-06,5.558628384343942e-05,-0.00024160747651622906,5.3448355126465026e-05,0.0001033822262923549,-0.0002029394015846173
"(0.28, 0.3)",-0.00016988285347482808,,-2.3870495613473024e-06,,-4.310671102925625e-05,-5.156736460876965e-05,-3.98909839832326e-05,-4.425817768273312e-05,-1.197341633852369e-05,,1.7473423063366647e-05,1.8991746972689762e-05,1.6123595113673802e-05,5.391972241584041e-05,-7.579820472500982e-05,-1.1958529678953473e-06,-1.1400949298731551e-05,5.8628392624506686e-05,3.663647157664244e-05,3.7418643113336565e-05,-0.0003315762613506112,2.601239429677928e-05,5.798662000268094e-05,5.110823870463733e-05,-0.00023750874979491614,-8.353851756428562e-05,-3.81138570640935e-06,-0.00033219999173508466,-5.473012997904308e-06,4.939976649921214e-05,-0.00019090108315912376,-2.202505145281926e-05,1.5078862093770784e-06,-0.00022295183605512884,2.0112196346887472e-06,2.2003032705615444e-05,-0.0002989480037892941,1.3809234321674954e-05,5.245816069206023e-05,-0.00025529181751610244,1.795150594950512e-05,2.8958620700361327e-05,-0.00013200700260469867,-4.72975276158194e-05,8.623800943282735e-06,-0.00020114875301937557
"(0.3, 0.32)",4.203925105152218e-05,,-0.00013020525081824182,,-0.0001568036495437607,-0.0001501711561365624,-0.00015647788757229314,-0.0001448561647411403,8.798542671762761e-05,,1.8990185777715215e-05,4.3576520149765135e-05,2.4171684009292345e-05,1.6692623017857372e-05,-4.254750574175597e-05,-0.00011603871196424781,2.3687379390611943e-05,2.0254587415394944e-05,9.023486129525387e-05,-4.434678839183975e-06,-0.0002799469810702599,-2.3107173341092223e-05,-8.628289832509556e-06,-1.005518344676235e-05,-0.00030246123145128,-4.3313598980569886e-05,1.1116413932198395e-05,-0.00023678645060110372,-1.824640730655068e-05,4.758124056222742e-05,-0.00016522011663981564,6.204362258063894e-05,8.371943032243214e-05,-9.200739997203488e-05,-4.245932241254039e-06,8.736766862503962e-05,-0.00016074846766317666,-1.1024672621149077e-05,6.77902117305169e-05,-0.0001929200736294488,6.325083168542317e-05,6.393026505656847e-05,-0.00014623026459657974,3.304948957239296e-05,0.00012052948071081059,-0.00012507041734800546
"(0.32, 0.34)",6.0593304264391176e-05,,3.092872909377022e-05,,4.326646157035909e-05,4.4830327714295055e-05,3.943922155474085e-05,4.017769712335625e-05,1.66019111163196e-05,,3.127096236295695e-05,2.998370427285362e-05,6.787081476416723e-05,4.629878962123163e-06,7.799684901125746e-05,-0.00012057701059896236,-5.287996738347035e-06,1.3497335174374139e-05,-3.617591929889005e-05,-6.744158071376071e-05,-0.0002792376907838394,-2.9028276100213785e-05,9.885249997593043e-05,4.183756885137522e-05,-0.0002214822181136544,3.197672536622944e-05,-3.3261012679558445e-05,-0.00014154946504349352,4.2553815109476976e-05,-2.9080426696009776e-05,-0.0001319641671461699,0.00010966942515856827,4.758302452918076e-06,-0.00017591718650348897,-1.7355810398410358e-05,2.1342843143412723e-05,-0.00017381104992670698,1.029168141906556e-05,3.754709578550556e-05,-9.096849379206858e-05,-4.290750041898098e-05,6.035781693360083e-05,-0.00011334003533103165,4.5068996209615624e-05,3.82483709711375e-05,-6.014745126750783e-05
"(0.34, 0.36)",5.4546245873533145e-05,,-0.00011385668984966341,,-0.0002592424563686438,-0.0002347491040177294,-0.00027908426834841085,-0.00025071171815777986,4.1287365733245716e-06,,-1.582350064923984e-05,-5.2890158629369225e-06,-2.4030689535001686e-05,4.181704870360859e-06,-7.167854002084491e-05,5.1833940177281856e-05,-9.134451056962588e-05,-2.53344291120253e-05,2.235788505646391e-05,7.62227982860262e-05,-0.0002433428323738871,-0.00011222722040811595,-5.284116633859867e-05,1.8688602439092944e-06,-0.0002961926676139733,-2.0731029489116598e-05,-2.360891056749922e-06,-0.00017448607230555993,1.5293729410629543e-05,-2.529357635506044e-06,-0.0001940040619110374,1.3254778068221565e-06,1.5460087543729523e-05,-0.00012096481942738989,8.164567465757019e-06,-2.6585171084562614e-05,-0.00011590555728292889,3.658870115776939e-05,-7.809247784954544e-05,-0.00014519496936266847,-3.507942647839363e-05,-4.7911996859737046e-05,-0.00021813329512614983,6.918485347190875e-05,-4.3656297265327286e-05,-0.00018733272981188515
"(0.36, 0.38)",0.00028341069796458755,,-2.0600864895665313e-05,,0.00023959414024292864,0.00023412511062019954,0.00024213204081190132,0.00023338797560244296,5.800019665750741e-06,,5.984392474422354e-05,1.936218726655642e-05,-2.1876656517260662e-05,-1.1900623070456853e-05,-2.8392558115633894e-05,1.3134000689977962e-05,-9.133679570442331e-05,1.6040995713954206e-05,-1.7842757679383955e-05,2.286773349286013e-05,-0.00028005657542426205,5.762497783572736e-05,-6.682395697491506e-05,-3.750054885535442e-05,-0.0001304110000398602,-4.170774092035518e-05,6.374331202025152e-05,-0.00014481240868157992,6.906003261601787e-05,-9.095373086424779e-05,-6.942753496815097e-05,0.00016119259392968457,-3.214005739019358e-05,-0.00018388650012102177,5.9510942666029196e-06,-1.761978486883648e-05,-0.00014259460453935622,9.957147462144021e-05,9.454250159332051e-06,-0.00013823373551284914,1.4783590702757957e-05,-6.869536114990799e-05,-2.5987095636542038e-05,1.473528668875557e-05,-5.096517348410112e-05,-6.013000838958128e-05
"(0.38, 0.4)",2.5074228956445333e-05,,3.635233367364882e-05,,4.079072747446826e-05,4.1120959071281464e-05,4.430163071076732e-05,4.7590674062047834e-05,6.375854278196422e-06,,-1.0287079629130138e-05,1.181866806782954e-05,-7.53012778114882e-06,4.54434739488828e-05,8.235313415792221e-05,1.730655591609047e-05,3.419775615828843e-05,4.616936738011744e-05,5.5950826289162694e-05,-9.410274193844574e-05,-0.0002837503848411394,1.8885314309404436e-06,0.00011286921261117398,4.449139713611137e-05,-0.00021512620089052004,-2.0667502342403057e-05,-6.97993089230705e-06,-5.9047311013763726e-05,7.811110591397089e-06,2.5188772319746164e-05,-0.00010927296357537178,-7.133801314298475e-05,-4.3487634869805706e-05,-8.689847070700698e-05,5.0238260893366355e-05,-2.2636508990339434e-05,-8.258849077526391e-05,1.3429744030187756e-05,-3.716124633956657e-05,-0.0001630622975731559,5.0654323296807816e-05,-4.8024491449008644e-05,-0.00010990447590521734,-1.6907008930976644e-05,-3.405253122164967e-05,-0.0001675819844914693
"(0.4, 0.42)",-7.077171565864032e-05,,8.572723998205491e-05,,6.828264151598874e-05,5.4371642028071154e-05,5.801775921529202e-05,6.298680073026426e-05,-1.767392086396278e-05,,-7.404731289768606e-06,1.5727297685823105e-05,4.8680600743090176e-05,4.488376929226502e-05,-9.24947504585752e-05,1.3897202347446447e-05,-6.213762322797471e-06,-5.164676708688523e-05,1.170840395344695e-05,-1.7296256271026872e-05,-0.0002123750605479432,4.430709430840469e-05,8.97191065716117e-06,-3.081208898097143e-05,-7.213766516127456e-05,2.587259090578498e-05,-8.382534744091586e-05,-8.243011081404971e-06,3.0854620903618566e-05,-8.393121035216244e-06,-7.281331779499499e-05,4.847973422000644e-05,-1.4995840761124566e-08,-1.829168318701648e-05,7.93331349606645e-05,-6.576587225003453e-05,-8.127796688201122e-05,6.886113608433413e-05,-5.295121687662129e-05,-3.503084257637749e-05,-2.9691633374697343e-05,-3.447044064959837e-05,-0.00013530682619656393,-0.0001130308790567947,-7.29463101046985e-05,-0.00011656033149578984
"(0.42, 0.44)",-0.00027367740566673946,,0.00012708355891547087,,9.665998441001724e-06,5.318913952268531e-06,2.9113553898587774e-05,3.705376353418565e-06,-9.1077262485141e-05,,-2.560709824676598e-05,-2.083977577396655e-05,4.237457801653407e-05,-5.2597173356369405e-06,3.294403904248963e-05,2.9240678164596604e-05,-1.5845801638237157e-05,3.1484889196261495e-05,-8.949332106407304e-05,8.234023698761976e-05,-0.00030546943275383293,-2.8860950731234985e-05,1.714990770199911e-05,1.1134740080020142e-05,8.951638963569542e-06,0.00010908362003414166,1.6913531163507596e-05,-0.00010659665847059202,3.776029694017218e-05,-4.729551882690738e-05,1.9790965926914e-05,3.0791741388540875e-05,-8.319808257398202e-05,-0.00011540311416676136,6.073709569555087e-06,-5.7546732455514854e-05,-2.342319819240308e-05,1.7940471458399953e-05,-3.324105487788114e-05,-5.306771987556139e-05,7.81888762487516e-05,-2.5282724991285013e-05,-2.7131813194077456e-05,6.31400609816825e-05,-3.2229841585637516e-05,-6.813571939634949e-06
